2016-05-04 16:11:39,225 [1] DEBUG IRAPI [c:\Git\Code\IRAPI\App_Start\WebApiConfig.cs][25][Register]	##WebApiConfig.Register##
2016-05-04 16:27:19,964 [27] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][1020][GetLogado]	##Get.UsuarioLogado## SESSION 4babm44h3a3eb2kwjrujz3oi
2016-05-04 16:27:19,967 [27] DEBUG IRAPI [c:\Git\Code\IRAPI\Controllers\MasterApiController.cs][167][CarregarCliente]	##CarregarCliente## SESSION 4babm44h3a3eb2kwjrujz3oi
2016-05-04 16:27:20,712 [27] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][1020][GetLogado]	##Get.UsuarioLogado## SESSION 4babm44h3a3eb2kwjrujz3oi
2016-05-04 16:27:20,715 [27] DEBUG IRAPI [c:\Git\Code\IRAPI\Controllers\MasterApiController.cs][167][CarregarCliente]	##CarregarCliente## SESSION 4babm44h3a3eb2kwjrujz3oi
2016-05-04 16:27:24,407 [41] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][1020][GetLogado]	##Get.UsuarioLogado## SESSION 4babm44h3a3eb2kwjrujz3oi
2016-05-04 16:27:24,410 [41] DEBUG IRAPI [c:\Git\Code\IRAPI\Controllers\MasterApiController.cs][167][CarregarCliente]	##CarregarCliente## SESSION 4babm44h3a3eb2kwjrujz3oi
2016-05-04 16:27:24,982 [38] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][1020][GetLogado]	##Get.UsuarioLogado## SESSION 4babm44h3a3eb2kwjrujz3oi
2016-05-04 16:27:24,985 [38] DEBUG IRAPI [c:\Git\Code\IRAPI\Controllers\MasterApiController.cs][167][CarregarCliente]	##CarregarCliente## SESSION 4babm44h3a3eb2kwjrujz3oi
2016-05-04 16:27:25,236 [38] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][1020][GetLogado]	##Get.UsuarioLogado## SESSION 4babm44h3a3eb2kwjrujz3oi
2016-05-04 16:27:25,239 [38] DEBUG IRAPI [c:\Git\Code\IRAPI\Controllers\MasterApiController.cs][167][CarregarCliente]	##CarregarCliente## SESSION 4babm44h3a3eb2kwjrujz3oi
2016-05-04 16:27:25,888 [40] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][1020][GetLogado]	##Get.UsuarioLogado## SESSION 4babm44h3a3eb2kwjrujz3oi
2016-05-04 16:27:25,891 [40] DEBUG IRAPI [c:\Git\Code\IRAPI\Controllers\MasterApiController.cs][167][CarregarCliente]	##CarregarCliente## SESSION 4babm44h3a3eb2kwjrujz3oi
2016-05-04 16:28:38,850 [40] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][62][PostAuth]	##Post.AuthCliente## SESSION 4babm44h3a3eb2kwjrujz3oi, USER daniel.ferreira@hom.ingressorapido.com.br
2016-05-04 16:28:38,856 [40] DEBUG IRAPI [c:\Git\Code\IRCore.Util\ConfiguracaoAppUtil.cs][14][Get]	Configuração CaptchaObrigatorio não encontrada no Web.Config
2016-05-04 16:28:41,647 [40] INFO  IRAPI [c:\Git\Code\IRCore.BusinessObject\ClienteBO.cs][1318][BiletoSignIn]	##ClienteBO.BiletoSignIn.ERROR## EMAIL: 'daniel.ferreira@hom.ingressorapido.com.br' STATUS_CODE: 'Unauthorized', MSG: '', ERRORS: ''
2016-05-04 16:28:41,805 [40] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][115][PostAuth]	##Post.AuthCliente.ERROR## SESSION 4babm44h3a3eb2kwjrujz3oi, MSG Sucesso = false
2016-05-04 16:32:35,053 [32] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][62][PostAuth]	##Post.AuthCliente## SESSION 4babm44h3a3eb2kwjrujz3oi, USER daniel.ferreira@hom.ingressorapido.com.br
2016-05-04 16:32:35,056 [32] DEBUG IRAPI [c:\Git\Code\IRCore.Util\ConfiguracaoAppUtil.cs][14][Get]	Configuração CaptchaObrigatorio não encontrada no Web.Config
2016-05-04 16:32:36,134 [32] INFO  IRAPI [c:\Git\Code\IRCore.BusinessObject\ClienteBO.cs][1318][BiletoSignIn]	##ClienteBO.BiletoSignIn.ERROR## EMAIL: 'daniel.ferreira@hom.ingressorapido.com.br' STATUS_CODE: 'Unauthorized', MSG: '', ERRORS: ''
2016-05-04 16:32:36,136 [32] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][115][PostAuth]	##Post.AuthCliente.ERROR## SESSION 4babm44h3a3eb2kwjrujz3oi, MSG Sucesso = false
2016-05-04 16:32:47,618 [34] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][62][PostAuth]	##Post.AuthCliente## SESSION 4babm44h3a3eb2kwjrujz3oi, USER daniel.ferreira@hom.ingressorapido.com.br
2016-05-04 16:32:47,620 [34] DEBUG IRAPI [c:\Git\Code\IRCore.Util\ConfiguracaoAppUtil.cs][14][Get]	Configuração CaptchaObrigatorio não encontrada no Web.Config
2016-05-04 16:32:48,281 [34] INFO  IRAPI [c:\Git\Code\IRCore.BusinessObject\ClienteBO.cs][1318][BiletoSignIn]	##ClienteBO.BiletoSignIn.ERROR## EMAIL: 'daniel.ferreira@hom.ingressorapido.com.br' STATUS_CODE: 'Unauthorized', MSG: '', ERRORS: ''
2016-05-04 16:32:48,284 [34] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][115][PostAuth]	##Post.AuthCliente.ERROR## SESSION 4babm44h3a3eb2kwjrujz3oi, MSG Sucesso = false
2016-05-04 16:33:10,562 [22] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][62][PostAuth]	##Post.AuthCliente## SESSION 4babm44h3a3eb2kwjrujz3oi, USER daniel.ferreira@hom.ingressorapido.com.br
2016-05-04 16:33:10,567 [22] DEBUG IRAPI [c:\Git\Code\IRCore.Util\ConfiguracaoAppUtil.cs][14][Get]	Configuração CaptchaObrigatorio não encontrada no Web.Config
2016-05-04 16:33:11,273 [22] INFO  IRAPI [c:\Git\Code\IRCore.BusinessObject\ClienteBO.cs][1318][BiletoSignIn]	##ClienteBO.BiletoSignIn.ERROR## EMAIL: 'daniel.ferreira@hom.ingressorapido.com.br' STATUS_CODE: 'Unauthorized', MSG: '', ERRORS: ''
2016-05-04 16:33:11,276 [22] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][115][PostAuth]	##Post.AuthCliente.ERROR## SESSION 4babm44h3a3eb2kwjrujz3oi, MSG Sucesso = false
2016-05-04 16:33:21,236 [21] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][62][PostAuth]	##Post.AuthCliente## SESSION 4babm44h3a3eb2kwjrujz3oi, USER daniel.ferreira@ingressorapido.com.br
2016-05-04 16:33:21,239 [21] DEBUG IRAPI [c:\Git\Code\IRCore.Util\ConfiguracaoAppUtil.cs][14][Get]	Configuração CaptchaObrigatorio não encontrada no Web.Config
2016-05-04 16:33:22,025 [21] INFO  IRAPI [c:\Git\Code\IRCore.BusinessObject\ClienteBO.cs][1318][BiletoSignIn]	##ClienteBO.BiletoSignIn.ERROR## EMAIL: 'daniel.ferreira@ingressorapido.com.br' STATUS_CODE: 'Unauthorized', MSG: '', ERRORS: ''
2016-05-04 16:33:22,027 [21] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][115][PostAuth]	##Post.AuthCliente.ERROR## SESSION 4babm44h3a3eb2kwjrujz3oi, MSG Sucesso = false
2016-05-04 16:34:27,354 [24] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][62][PostAuth]	##Post.AuthCliente## SESSION 4babm44h3a3eb2kwjrujz3oi, USER daniel.ferreira@ingressorapido.com.br
2016-05-04 16:34:27,357 [24] DEBUG IRAPI [c:\Git\Code\IRCore.Util\ConfiguracaoAppUtil.cs][14][Get]	Configuração CaptchaObrigatorio não encontrada no Web.Config
2016-05-04 16:34:28,199 [24] INFO  IRAPI [c:\Git\Code\IRCore.BusinessObject\ClienteBO.cs][1318][BiletoSignIn]	##ClienteBO.BiletoSignIn.ERROR## EMAIL: 'daniel.ferreira@ingressorapido.com.br' STATUS_CODE: 'Unauthorized', MSG: '', ERRORS: ''
2016-05-04 16:34:28,202 [24] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][115][PostAuth]	##Post.AuthCliente.ERROR## SESSION 4babm44h3a3eb2kwjrujz3oi, MSG Sucesso = false
2016-05-04 16:34:40,188 [32] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][62][PostAuth]	##Post.AuthCliente## SESSION 4babm44h3a3eb2kwjrujz3oi, USER daniel.ferreira@ingressorapido.com.br
2016-05-04 16:34:40,191 [32] DEBUG IRAPI [c:\Git\Code\IRCore.Util\ConfiguracaoAppUtil.cs][14][Get]	Configuração CaptchaObrigatorio não encontrada no Web.Config
2016-05-04 16:34:41,024 [32] INFO  IRAPI [c:\Git\Code\IRCore.BusinessObject\ClienteBO.cs][1263][BiletoSignIn]	##ClienteBO.BiletoSignIn.SUCCESS## EMAIL: 'daniel.ferreira@ingressorapido.com.br' STATUS_CODE: 'OK'
2016-05-04 16:34:41,088 [32] DEBUG IRAPI [c:\Git\Code\IRCore.BusinessObject\ClienteBO.cs][979][ConsultarUsername]	##ClienteBO.ConsultarUserName## USERNAME daniel.ferreira@ingressorapido.com.br
2016-05-04 16:34:41,489 [32] DEBUG IRAPI [c:\Git\Code\IRCore.BusinessObject\ClienteBO.cs][970][ConsultarEmail]	##ClienteBO.ConsultarEmail##
2016-05-04 16:34:41,527 [32] DEBUG IRAPI [c:\Git\Code\IRCore.BusinessObject\ClienteBO.cs][961][ConsultarCPF]	##ClienteBO.ConsultarCPF##
2016-05-04 16:34:41,559 [32] INFO  IRAPI [c:\Git\Code\IRCore.BusinessObject\ClienteBO.cs][143][Cadastrar]	##ClienteBO.Cadastrar.ERROR## CLIENTEID 0, EMAIL daniel.ferreira@ingressorapido.com.br, CPF 37352977309, MSG Já existe um usuário cadastrado com este CPF. Por favor clique em esqueci minha senha ou realize o login.
2016-05-04 16:34:41,826 [32] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][130][PostAuth]	##Post.AuthCliente.SUCCESS## SESSION 4babm44h3a3eb2kwjrujz3oi
2016-05-04 16:34:41,829 [32] DEBUG IRAPI [c:\Git\Code\IRAPI\Controllers\MasterApiController.cs][57][ExecuteAsync]	##Master.ExecuteAsync## SESSION_DATA {"EntregaControleID":0,"ClienteEnderecoID":0,"PDVID":0,"ClienteID":0,"SessionID":"4babm44h3a3eb2kwjrujz3oi","UsuarioID":1657,"LojaID":2,"CanalID":2,"ValesIngressoID":null,"EnderecoTemp":null,"SiteID":1,"TokenPayPal":null,"biletoToken":"eyJraWQiOiJrMSIsImFsZyI6IkhTMjU2In0.eyJpc3MiOiJiaWxldG8iLCJqdGkiOiJRQ01ZWndBbEstbGk1a0NINU5RRV93IiwiaWF0IjoxNDYyMzkwNDgwLCJleHAiOjE0NjIzOTEwODAsIm5iZiI6MTQ2MjM5MDQyMCwicGwiOiJ7XCJhY2NvdW50SWRcIjpcImMzZDI3MzZiLTU2NmItNDg0Zi05NzFkLTBjMmY5MDhlNzU0OVwiLFwidGVuYW50SWRcIjoxfSJ9.9akDuSoP2CLx4uBunHHHOnw1mMIF0OwTIHaL4NbZ77Q","biletoUuid":"c3d2736b-566b-484f-971d-0c2f908e7549","Guid":null}
2016-05-04 16:34:41,833 [32] DEBUG IRAPI [c:\Git\Code\IRAPI\Controllers\MasterApiController.cs][61][ExecuteAsync]	##Master.ExecuteAsync.AtualizarSessionData## SESSION_DATA {"EntregaControleID":0,"ClienteEnderecoID":0,"PDVID":0,"ClienteID":0,"SessionID":"4babm44h3a3eb2kwjrujz3oi","UsuarioID":1657,"LojaID":2,"CanalID":2,"ValesIngressoID":null,"EnderecoTemp":null,"SiteID":1,"TokenPayPal":null,"biletoToken":"eyJraWQiOiJrMSIsImFsZyI6IkhTMjU2In0.eyJpc3MiOiJiaWxldG8iLCJqdGkiOiJRQ01ZWndBbEstbGk1a0NINU5RRV93IiwiaWF0IjoxNDYyMzkwNDgwLCJleHAiOjE0NjIzOTEwODAsIm5iZiI6MTQ2MjM5MDQyMCwicGwiOiJ7XCJhY2NvdW50SWRcIjpcImMzZDI3MzZiLTU2NmItNDg0Zi05NzFkLTBjMmY5MDhlNzU0OVwiLFwidGVuYW50SWRcIjoxfSJ9.9akDuSoP2CLx4uBunHHHOnw1mMIF0OwTIHaL4NbZ77Q","biletoUuid":"c3d2736b-566b-484f-971d-0c2f908e7549","Guid":null}
2016-05-04 16:34:41,835 [32] DEBUG IRAPI [c:\Git\Code\IRCore.DataAccess.ADO\APIUsuarioADO.cs][203][AtualizarSessao]	##Master.ExecuteAsync.AtualizandoSessionData## SESSION_DATA {"EntregaControleID":0,"ClienteEnderecoID":0,"PDVID":0,"ClienteID":0,"SessionID":"4babm44h3a3eb2kwjrujz3oi","UsuarioID":1657,"LojaID":2,"CanalID":2,"ValesIngressoID":null,"EnderecoTemp":null,"SiteID":1,"TokenPayPal":null,"biletoToken":"eyJraWQiOiJrMSIsImFsZyI6IkhTMjU2In0.eyJpc3MiOiJiaWxldG8iLCJqdGkiOiJRQ01ZWndBbEstbGk1a0NINU5RRV93IiwiaWF0IjoxNDYyMzkwNDgwLCJleHAiOjE0NjIzOTEwODAsIm5iZiI6MTQ2MjM5MDQyMCwicGwiOiJ7XCJhY2NvdW50SWRcIjpcImMzZDI3MzZiLTU2NmItNDg0Zi05NzFkLTBjMmY5MDhlNzU0OVwiLFwidGVuYW50SWRcIjoxfSJ9.9akDuSoP2CLx4uBunHHHOnw1mMIF0OwTIHaL4NbZ77Q","biletoUuid":"c3d2736b-566b-484f-971d-0c2f908e7549","Guid":null}
2016-05-04 16:34:42,013 [32] DEBUG IRAPI [c:\Git\Code\IRCore.DataAccess.ADO\APIUsuarioADO.cs][226][AtualizarSessao]	##Master.ExecuteAsync.AtualizandoSessionData.SUCCESS## SESSION_DATA {"EntregaControleID":0,"ClienteEnderecoID":0,"PDVID":0,"ClienteID":0,"SessionID":"4babm44h3a3eb2kwjrujz3oi","UsuarioID":1657,"LojaID":2,"CanalID":2,"ValesIngressoID":null,"EnderecoTemp":null,"SiteID":1,"TokenPayPal":null,"biletoToken":"eyJraWQiOiJrMSIsImFsZyI6IkhTMjU2In0.eyJpc3MiOiJiaWxldG8iLCJqdGkiOiJRQ01ZWndBbEstbGk1a0NINU5RRV93IiwiaWF0IjoxNDYyMzkwNDgwLCJleHAiOjE0NjIzOTEwODAsIm5iZiI6MTQ2MjM5MDQyMCwicGwiOiJ7XCJhY2NvdW50SWRcIjpcImMzZDI3MzZiLTU2NmItNDg0Zi05NzFkLTBjMmY5MDhlNzU0OVwiLFwidGVuYW50SWRcIjoxfSJ9.9akDuSoP2CLx4uBunHHHOnw1mMIF0OwTIHaL4NbZ77Q","biletoUuid":"c3d2736b-566b-484f-971d-0c2f908e7549","Guid":null}
2016-05-04 16:34:56,478 [24] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][62][PostAuth]	##Post.AuthCliente## SESSION 4babm44h3a3eb2kwjrujz3oi, USER daniel.ferreira@ingressorapido.com.br
2016-05-04 16:34:56,480 [24] DEBUG IRAPI [c:\Git\Code\IRCore.Util\ConfiguracaoAppUtil.cs][14][Get]	Configuração CaptchaObrigatorio não encontrada no Web.Config
2016-05-04 16:34:57,247 [24] INFO  IRAPI [c:\Git\Code\IRCore.BusinessObject\ClienteBO.cs][1263][BiletoSignIn]	##ClienteBO.BiletoSignIn.SUCCESS## EMAIL: 'daniel.ferreira@ingressorapido.com.br' STATUS_CODE: 'OK'
2016-05-04 16:34:57,249 [24] DEBUG IRAPI [c:\Git\Code\IRCore.BusinessObject\ClienteBO.cs][979][ConsultarUsername]	##ClienteBO.ConsultarUserName## USERNAME daniel.ferreira@ingressorapido.com.br
2016-05-04 16:34:57,466 [24] DEBUG IRAPI [c:\Git\Code\IRCore.BusinessObject\ClienteBO.cs][970][ConsultarEmail]	##ClienteBO.ConsultarEmail##
2016-05-04 16:34:57,484 [24] DEBUG IRAPI [c:\Git\Code\IRCore.BusinessObject\ClienteBO.cs][961][ConsultarCPF]	##ClienteBO.ConsultarCPF##
2016-05-04 16:34:57,503 [24] INFO  IRAPI [c:\Git\Code\IRCore.BusinessObject\ClienteBO.cs][143][Cadastrar]	##ClienteBO.Cadastrar.ERROR## CLIENTEID 0, EMAIL daniel.ferreira@ingressorapido.com.br, CPF 37352977309, MSG Já existe um usuário cadastrado com este CPF. Por favor clique em esqueci minha senha ou realize o login.
2016-05-04 16:34:57,550 [24] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][130][PostAuth]	##Post.AuthCliente.SUCCESS## SESSION 4babm44h3a3eb2kwjrujz3oi
2016-05-04 16:34:57,561 [24] DEBUG IRAPI [c:\Git\Code\IRAPI\Controllers\MasterApiController.cs][57][ExecuteAsync]	##Master.ExecuteAsync## SESSION_DATA {"EntregaControleID":0,"ClienteEnderecoID":0,"PDVID":0,"ClienteID":0,"SessionID":"4babm44h3a3eb2kwjrujz3oi","UsuarioID":1657,"LojaID":2,"CanalID":2,"ValesIngressoID":null,"EnderecoTemp":null,"SiteID":1,"TokenPayPal":null,"biletoToken":"eyJraWQiOiJrMSIsImFsZyI6IkhTMjU2In0.eyJpc3MiOiJiaWxldG8iLCJqdGkiOiIzb1V0NVpaU0o3R0JrcVh3ZUd0dXR3IiwiaWF0IjoxNDYyMzkwNDk3LCJleHAiOjE0NjIzOTEwOTcsIm5iZiI6MTQ2MjM5MDQzNywicGwiOiJ7XCJhY2NvdW50SWRcIjpcImMzZDI3MzZiLTU2NmItNDg0Zi05NzFkLTBjMmY5MDhlNzU0OVwiLFwidGVuYW50SWRcIjoxfSJ9.WpC5G7xNpxPvGU57MiFeAywT1Gf9dMlusaUUERu9dpo","biletoUuid":"c3d2736b-566b-484f-971d-0c2f908e7549","Guid":null}
2016-05-04 16:34:57,565 [24] DEBUG IRAPI [c:\Git\Code\IRAPI\Controllers\MasterApiController.cs][61][ExecuteAsync]	##Master.ExecuteAsync.AtualizarSessionData## SESSION_DATA {"EntregaControleID":0,"ClienteEnderecoID":0,"PDVID":0,"ClienteID":0,"SessionID":"4babm44h3a3eb2kwjrujz3oi","UsuarioID":1657,"LojaID":2,"CanalID":2,"ValesIngressoID":null,"EnderecoTemp":null,"SiteID":1,"TokenPayPal":null,"biletoToken":"eyJraWQiOiJrMSIsImFsZyI6IkhTMjU2In0.eyJpc3MiOiJiaWxldG8iLCJqdGkiOiIzb1V0NVpaU0o3R0JrcVh3ZUd0dXR3IiwiaWF0IjoxNDYyMzkwNDk3LCJleHAiOjE0NjIzOTEwOTcsIm5iZiI6MTQ2MjM5MDQzNywicGwiOiJ7XCJhY2NvdW50SWRcIjpcImMzZDI3MzZiLTU2NmItNDg0Zi05NzFkLTBjMmY5MDhlNzU0OVwiLFwidGVuYW50SWRcIjoxfSJ9.WpC5G7xNpxPvGU57MiFeAywT1Gf9dMlusaUUERu9dpo","biletoUuid":"c3d2736b-566b-484f-971d-0c2f908e7549","Guid":null}
2016-05-04 16:34:57,568 [24] DEBUG IRAPI [c:\Git\Code\IRCore.DataAccess.ADO\APIUsuarioADO.cs][203][AtualizarSessao]	##Master.ExecuteAsync.AtualizandoSessionData## SESSION_DATA {"EntregaControleID":0,"ClienteEnderecoID":0,"PDVID":0,"ClienteID":0,"SessionID":"4babm44h3a3eb2kwjrujz3oi","UsuarioID":1657,"LojaID":2,"CanalID":2,"ValesIngressoID":null,"EnderecoTemp":null,"SiteID":1,"TokenPayPal":null,"biletoToken":"eyJraWQiOiJrMSIsImFsZyI6IkhTMjU2In0.eyJpc3MiOiJiaWxldG8iLCJqdGkiOiIzb1V0NVpaU0o3R0JrcVh3ZUd0dXR3IiwiaWF0IjoxNDYyMzkwNDk3LCJleHAiOjE0NjIzOTEwOTcsIm5iZiI6MTQ2MjM5MDQzNywicGwiOiJ7XCJhY2NvdW50SWRcIjpcImMzZDI3MzZiLTU2NmItNDg0Zi05NzFkLTBjMmY5MDhlNzU0OVwiLFwidGVuYW50SWRcIjoxfSJ9.WpC5G7xNpxPvGU57MiFeAywT1Gf9dMlusaUUERu9dpo","biletoUuid":"c3d2736b-566b-484f-971d-0c2f908e7549","Guid":null}
2016-05-04 16:34:57,618 [24] DEBUG IRAPI [c:\Git\Code\IRCore.DataAccess.ADO\APIUsuarioADO.cs][226][AtualizarSessao]	##Master.ExecuteAsync.AtualizandoSessionData.SUCCESS## SESSION_DATA {"EntregaControleID":0,"ClienteEnderecoID":0,"PDVID":0,"ClienteID":0,"SessionID":"4babm44h3a3eb2kwjrujz3oi","UsuarioID":1657,"LojaID":2,"CanalID":2,"ValesIngressoID":null,"EnderecoTemp":null,"SiteID":1,"TokenPayPal":null,"biletoToken":"eyJraWQiOiJrMSIsImFsZyI6IkhTMjU2In0.eyJpc3MiOiJiaWxldG8iLCJqdGkiOiIzb1V0NVpaU0o3R0JrcVh3ZUd0dXR3IiwiaWF0IjoxNDYyMzkwNDk3LCJleHAiOjE0NjIzOTEwOTcsIm5iZiI6MTQ2MjM5MDQzNywicGwiOiJ7XCJhY2NvdW50SWRcIjpcImMzZDI3MzZiLTU2NmItNDg0Zi05NzFkLTBjMmY5MDhlNzU0OVwiLFwidGVuYW50SWRcIjoxfSJ9.WpC5G7xNpxPvGU57MiFeAywT1Gf9dMlusaUUERu9dpo","biletoUuid":"c3d2736b-566b-484f-971d-0c2f908e7549","Guid":null}
2016-05-04 16:35:19,420 [12] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][1020][GetLogado]	##Get.UsuarioLogado## SESSION 4babm44h3a3eb2kwjrujz3oi
2016-05-04 16:35:19,423 [12] DEBUG IRAPI [c:\Git\Code\IRAPI\Controllers\MasterApiController.cs][167][CarregarCliente]	##CarregarCliente## SESSION 4babm44h3a3eb2kwjrujz3oi
2016-05-04 16:35:19,674 [40] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][1020][GetLogado]	##Get.UsuarioLogado## SESSION 4babm44h3a3eb2kwjrujz3oi
2016-05-04 16:35:19,676 [40] DEBUG IRAPI [c:\Git\Code\IRAPI\Controllers\MasterApiController.cs][167][CarregarCliente]	##CarregarCliente## SESSION 4babm44h3a3eb2kwjrujz3oi
2016-05-04 16:35:19,840 [19] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][195][DeleteAuth]	##Delete.Auth## SESSION 4babm44h3a3eb2kwjrujz3oi
